＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
169060032,FUT_BANK_240613,,202406,,247.5,247.5,250.39,,0.1564,168,東証銀行
169090032,FUT_BANK_240912,,202409,,247.7,247.7,250.39,,0.2355,259,東証銀行
169030069,FUT_REIT_240307,,202403,,1788,1787.9,1806.96,,0.0655,70,東証REIT
169060069,FUT_REIT_240613,,202406,,1776.5,1776.4,1806.96,,0.1564,168,東証REIT
169090069,FUT_REIT_240912,,202409,,1753,1753.1,1806.96,,0.2355,259,東証REIT
169030073,FUT_DJIA_240315,,202403,,38018,,37710.1,,,80,NYダウ
169060073,FUT_DJIA_240621,,202406,,38233,,37710.1,,,178,NYダウ
169090073,FUT_DJIA_240920,,202409,,38353,,37710.1,,,270,NYダウ
169120073,FUT_DJIA_241220,,202412,,38574,,37710.1,,,360,NYダウ
169030076,FUT_RNP_240307,,202403,,1802,1802,1802.33,,0.0655,70,RNP
169060076,FUT_RNP_240613,,202406,,1784,1784.1,1802.33,,0.1564,168,RNP
169090076,FUT_RNP_240912,,202409,,1783,1783.1,1802.33,,0.2355,259,RNP
169120076,FUT_RNP_241212,,202412,,1767.5,1767.6,1802.33,,0.2355,350,RNP
160030076,FUT_RNP_250313,,202503,,1765.5,1765.6,1802.33,,0.2355,441,RNP
168120017,FUT_NKDV_240329,,202312,,642,,,,,94,日経平均配当
169120017,FUT_NKDV_250331,,202412,,660,,,,,459,日経平均配当
160120017,FUT_NKDV_260331,,202512,,659,,,,,824,日経平均配当
161120017,FUT_NKDV_270331,,202612,,654,,,,,1189,日経平均配当
162120017,FUT_NKDV_280331,,202712,,645.9,,,,,1557,日経平均配当
163120017,FUT_NKDV_290330,,202812,,595,,,,,1921,日経平均配当
164120017,FUT_NKDV_300329,,202912,,595,,,,,2285,日経平均配当
165120017,FUT_NKDV_310331,,203012,,595,,,,,2650,日経平均配当
169030001,FUT_JBL_240313,,202403,,146.71,,,,,83,長期国債
169060001,FUT_JBL_240613,,202406,,146.23,,,,,174,長期国債
169090001,FUT_JBL_240912,,202409,,145.69,,,,,266,長期国債
169030007,FUT_JBLM_240312,,202403,,146.71,,,,,75,長期国債
169060007,FUT_JBLM_240612,,202406,,146.23,,,,,167,長期国債
169090007,FUT_JBLM_240911,,202409,,145.69,,,,,258,長期国債
169030004,FUT_JBM_240313,,202403,,111.9,,,,,83,中期国債
169060004,FUT_JBM_240613,,202406,,111.71,,,,,174,中期国債
169090004,FUT_JBM_240912,,202409,,111.42,,,,,266,中期国債
169030002,FUT_JBS_240313,,202403,,130.18,,,,,83,超長期国債
169060002,FUT_JBS_240613,,202406,,129.31,,,,,174,超長期国債
169090002,FUT_JBS_240912,,202409,,129.31,,,,,266,超長期国債
168120091,FUT_TOA3M_240319,,202312,,100.01,,,,,83,無担保コールO/N物レート
169030091,FUT_TOA3M_240618,,202403,,99.94,,,,,173,無担保コールO/N物レート
169060091,FUT_TOA3M_240917,,202406,,99.91,,,,,264,無担保コールO/N物レート
169090091,FUT_TOA3M_241217,,202409,,99.855,,,,,355,無担保コールO/N物レート
169120091,FUT_TOA3M_250318,,202412,,99.7925,,,,,446,無担保コールO/N物レート
160030091,FUT_TOA3M_250617,,202503,,99.73,,,,,537,無担保コールO/N物レート
160060091,FUT_TOA3M_250916,,202506,,99.67,,,,,628,無担保コールO/N物レート
160090091,FUT_TOA3M_251216,,202509,,99.6275,,,,,719,無担保コールO/N物レート
160120091,FUT_TOA3M_260317,,202512,,99.59,,,,,810,無担保コールO/N物レート
161030091,FUT_TOA3M_260616,,202603,,99.5575,,,,,901,無担保コールO/N物レート
